round,accuracy
0,"(0.7831976974990076, array([[1604,   29,   18,   29,   42,   11,   39,   85,   36,   27],
       [  22, 1838,   32,   29,   35,   22,   27,   55,   31,   42],
       [  35,   36, 1401,   18,   45,   17,   35,  208,   29,   41],
       [  42,  101,   46, 1539,   42,   27,   47,  399,   54,   87],
       [  25,   39,   28,   18, 1499,   15,   38,   56,   26,   55],
       [  49,  114,   34,   21,   36, 1178,   81,  375,   56,  134],
       [  25,   31,   20,   15,   34,   18, 1594,   54,   28,   37],
       [  35,   46,   33,   34,   42,   19,   37, 2095,   30,   41],
       [  30,   46,   28,   15,   34,   16,   44,  115, 1413,   52],
       [  25,   34,   30,   18,   29,   15,   37,   78,   24, 1622]]))"
1,"(0.7244442238983724, array([[1467,   37,   33,   21,   50,    7,   65,  161,   30,   49],
       [  21, 1834,   29,   18,   43,   22,   28,   72,   26,   40],
       [  37,   57, 1286,   15,   87,   14,   56,  233,   32,   48],
       [  88,  114,   83, 1305,  126,   21,   87,  405,   53,  102],
       [  28,   51,   24,   10, 1373,   11,   51,  145,   31,   75],
       [  95,  114,   55,   27,   78,  878,   93,  531,   63,  144],
       [  27,   38,   21,   11,   39,    7, 1561,   76,   31,   45],
       [  34,   52,   34,   32,   41,   12,   40, 2083,   29,   55],
       [  43,   53,   23,   16,   58,    8,   46,  208, 1281,   57],
       [  26,   39,   32,   16,   31,   10,   40,  153,   34, 1531]]))"
2,"(0.6978463676061929, array([[1414,   42,   32,   18,   56,    8,  105,  165,   26,   54],
       [  21, 1841,   24,   12,   48,   16,   35,   71,   20,   45],
       [  35,   56, 1321,   15,   88,   21,   63,  181,   22,   63],
       [  85,  120,   74, 1017,  196,   39,  130,  520,   45,  158],
       [  28,   55,   28,   12, 1347,   12,   56,  131,   22,  108],
       [  61,  129,   53,   15,  112,  975,   68,  513,   39,  113],
       [  25,   45,   19,    5,   51,    9, 1528,  106,   23,   45],
       [  30,   60,   42,   24,   61,   18,   41, 2061,   20,   55],
       [  48,   80,   37,   16,  102,   16,   49,  327, 1045,   73],
       [  23,   43,   28,   10,   43,   12,   54,  168,   17, 1514]]))"
3,"(0.6953652242953553, array([[1403,   55,   42,   17,   44,   10,  120,  145,   39,   45],
       [  25, 1816,   27,   13,   42,   24,   33,   65,   49,   39],
       [  57,   69, 1239,   18,   65,   20,   63,  202,   45,   87],
       [ 180,  144,  117,  989,   99,   48,  151,  368,  111,  177],
       [  40,   54,   26,   13, 1349,   12,   68,  105,   38,   94],
       [ 136,  162,   86,   14,   63, 1007,  144,  248,   75,  143],
       [  36,   42,   25,    8,   38,   17, 1550,   66,   35,   39],
       [  32,   69,   43,   22,   55,   18,   44, 2040,   34,   55],
       [  49,   76,   41,   13,   49,   18,   83,  210, 1188,   66],
       [  44,   52,   32,   12,   32,   17,   79,  171,   41, 1432]]))"
4,"(0.6824136562127828, array([[1469,   48,   31,   29,   52,   10,   56,  127,   59,   39],
       [  27, 1783,   23,   21,   40,   20,   33,   92,   42,   52],
       [  68,   95, 1100,   27,  131,   15,   74,  225,   50,   80],
       [ 108,  135,   77, 1108,  111,   27,  105,  420,   65,  228],
       [  39,   51,   22,   15, 1342,   10,   43,  149,   35,   93],
       [ 100,  147,   78,   34,   99,  844,  168,  355,   66,  187],
       [  47,   40,   16,    8,   45,   14, 1481,  121,   48,   36],
       [  34,   75,   38,   21,   60,   16,   36, 2034,   34,   64],
       [  45,   80,   37,   22,   70,   18,   57,  224, 1173,   67],
       [  32,   43,   28,   17,   67,   19,   73,  175,   40, 1418]]))"
5,"(0.6825625248114331, array([[1414,   67,   30,   30,   47,    9,   62,  156,   40,   65],
       [  29, 1818,   28,   21,   34,   18,   38,   66,   29,   52],
       [  53,   80, 1217,   25,   82,   24,   72,  184,   37,   91],
       [ 112,  124,   97, 1050,   97,   34,  136,  430,   74,  230],
       [  32,   91,   20,   17, 1319,    7,   63,  101,   28,  121],
       [ 105,  171,   76,   27,   84,  798,  295,  274,   57,  191],
       [  42,   46,   29,   10,   43,    9, 1512,   81,   33,   51],
       [  34,   73,   32,   24,   61,   19,   45, 2013,   28,   83],
       [  64,   85,   60,   25,   62,   18,   69,  213, 1089,  108],
       [  30,   47,   26,   11,   59,   12,   72,  101,   29, 1525]]))"
6,"(0.7039996030170703, array([[1438,   57,   42,   21,   44,   16,   72,  125,   50,   55],
       [  27, 1813,   32,   20,   36,   16,   39,   56,   36,   58],
       [  43,   87, 1337,   19,   88,   27,   52,   96,   47,   69],
       [ 129,  152,  125, 1089,  112,   46,  122,  287,  120,  202],
       [  34,   85,   31,   13, 1324,    8,   59,   96,   44,  105],
       [  98,  138,   76,   25,   99,  971,  170,  167,   85,  249],
       [  42,   57,   30,   11,   56,   21, 1470,   73,   36,   60],
       [  39,   73,   56,   23,   60,   23,   38, 1983,   41,   76],
       [  42,   72,   80,   22,   78,   15,   54,  118, 1230,   82],
       [  30,   52,   38,   16,   42,    8,   49,   90,   55, 1532]]))"
7,"(0.6891127431520445, array([[1437,   54,   38,   19,   51,   11,   83,  137,   35,   55],
       [  27, 1795,   24,   23,   47,   17,   45,   78,   30,   47],
       [  40,   71, 1355,   13,   67,   20,   56,  141,   42,   60],
       [ 124,  155,  117, 1079,  131,   35,  124,  360,   90,  169],
       [  36,   70,   41,   15, 1330,    9,   61,  150,   30,   57],
       [ 124,  158,  104,   45,   99,  833,  254,  272,   76,  113],
       [  43,   43,   32,   13,   53,   14, 1512,   72,   30,   44],
       [  40,   69,   67,   23,   65,   21,   46, 1974,   47,   60],
       [  37,   83,   80,   21,   77,   18,   70,  125, 1226,   56],
       [  27,   57,   49,   13,   95,   16,   72,  160,   77, 1346]]))"
8,"(0.6887157602223104, array([[1444,   54,   31,   21,   51,   17,   87,  104,   46,   65],
       [  31, 1799,   27,   27,   39,   13,   38,   72,   36,   51],
       [  55,   65, 1309,   10,   56,   15,   54,  157,   59,   85],
       [ 156,  183,  130, 1171,   91,   42,   98,  248,  104,  161],
       [  37,   87,   34,   19, 1253,    8,   75,  173,   36,   77],
       [ 131,  145,   80,   45,  105,  842,  219,  262,   88,  161],
       [  54,   41,   29,   19,   43,   12, 1432,  124,   41,   61],
       [  46,   82,   58,   35,   53,   18,   51, 1958,   38,   73],
       [  53,   68,   56,   19,   61,   17,   50,  154, 1252,   63],
       [  29,   81,   37,   18,   74,   17,   79,  108,   50, 1419]]))"
9,"(0.6765085351329893, array([[1473,   35,   25,   27,   47,    8,   75,  138,   34,   58],
       [  52, 1722,   27,   22,   48,   12,   47,  108,   37,   58],
       [  82,   66, 1267,   11,   53,   17,   82,  148,   59,   80],
       [ 176,  168,  117, 1100,   89,   19,  143,  307,   90,  175],
       [  38,   51,   33,   25, 1285,   11,   88,  133,   41,   94],
       [ 153,  157,   62,   61,   69,  739,  223,  345,   71,  198],
       [  44,   37,   28,   12,   35,   11, 1425,  162,   40,   62],
       [  69,   65,   58,   27,   55,   15,   50, 1957,   40,   76],
       [  59,   68,   53,   19,   44,   13,   65,  182, 1215,   75],
       [  43,   54,   39,   18,   44,    8,   73,  127,   56, 1450]]))"
