round,accuracy
0,"(0.785728463676062, array([[1605,   29,   18,   30,   39,    8,   37,   91,   36,   27],
       [  24, 1842,   32,   29,   33,   23,   25,   49,   31,   45],
       [  36,   36, 1406,   16,   43,   16,   37,  203,   36,   36],
       [  48,   94,   47, 1541,   45,   26,   50,  387,   54,   92],
       [  26,   41,   28,   17, 1492,   16,   36,   54,   27,   62],
       [  42,  110,   37,   24,   34, 1193,   74,  370,   59,  135],
       [  26,   31,   20,   16,   33,   21, 1591,   55,   27,   36],
       [  37,   45,   31,   33,   41,   20,   37, 2099,   28,   41],
       [  30,   48,   28,   18,   33,   14,   40,   97, 1441,   44],
       [  24,   35,   29,   18,   27,   11,   32,   84,   28, 1624]]))"
1,"(0.740770146883684, array([[1492,   40,   28,   23,   62,    9,   70,  124,   33,   39],
       [  23, 1837,   29,   23,   46,   20,   28,   66,   22,   39],
       [  38,   50, 1321,   17,   93,   12,   54,  200,   35,   45],
       [  72,  109,   89, 1388,  126,   24,   67,  363,   54,   92],
       [  25,   46,   27,   11, 1428,   15,   45,  112,   26,   64],
       [  78,  131,   50,   24,   95,  975,   73,  462,   65,  125],
       [  26,   35,   21,   11,   45,   10, 1564,   71,   34,   39],
       [  34,   55,   41,   33,   44,   16,   36, 2074,   27,   52],
       [  41,   58,   29,   16,   54,   11,   41,  182, 1308,   53],
       [  27,   40,   33,   17,   39,   10,   39,  132,   34, 1541]]))"
2,"(0.7020146883684002, array([[1415,   52,   36,   22,   48,    7,   88,  169,   33,   50],
       [  21, 1835,   22,   12,   48,   19,   30,   87,   18,   41],
       [  31,   59, 1295,   13,   83,   22,   53,  218,   26,   65],
       [  78,  141,   76, 1071,  186,   44,  125,  455,   43,  165],
       [  24,   62,   32,   13, 1339,   13,   50,  137,   20,  109],
       [  55,  168,   47,   16,   93, 1031,   68,  453,   46,  101],
       [  28,   39,   21,    7,   47,   13, 1527,  103,   24,   47],
       [  29,   60,   44,   26,   55,   15,   40, 2067,   20,   56],
       [  43,   87,   37,   13,   86,   12,   52,  330, 1058,   75],
       [  22,   47,   30,   13,   39,   13,   49,  165,   25, 1509]]))"
3,"(0.6989876935291782, array([[1373,   49,   40,   25,   57,   11,  106,  169,   41,   49],
       [  21, 1810,   26,   12,   47,   23,   34,   77,   42,   41],
       [  53,   62, 1219,   19,   72,   21,   63,  218,   38,  100],
       [ 147,  128,  106, 1057,  132,   45,  121,  384,   88,  176],
       [  39,   45,   26,   14, 1391,   14,   53,   97,   30,   90],
       [ 135,  141,   77,   18,   77, 1040,  138,  238,   74,  140],
       [  42,   40,   28,    8,   42,   19, 1531,   78,   34,   34],
       [  31,   63,   43,   23,   56,   18,   41, 2051,   32,   54],
       [  49,   70,   39,   13,   55,   22,   69,  225, 1184,   67],
       [  37,   55,   29,   12,   46,   16,   75,  165,   47, 1430]]))"
4,"(0.6920404922588329, array([[1489,   54,   32,   26,   53,   11,   47,  116,   55,   37],
       [  28, 1808,   23,   22,   37,   24,   27,   75,   37,   52],
       [  68,   99, 1162,   24,  115,   18,   61,  201,   35,   82],
       [ 120,  137,   87, 1058,  109,   34,   96,  458,   61,  224],
       [  39,   57,   25,   17, 1364,    8,   40,  120,   33,   96],
       [ 121,  163,   82,   23,   96,  910,  157,  299,   60,  167],
       [  42,   46,   23,   12,   48,   15, 1483,   97,   49,   41],
       [  39,   68,   40,   26,   58,   17,   38, 2030,   31,   65],
       [  44,   84,   42,   22,   67,   19,   54,  201, 1189,   71],
       [  34,   49,   29,   18,   60,   20,   68,  139,   42, 1453]]))"
5,"(0.6864827312425565, array([[1446,   69,   29,   36,   41,   10,   60,  138,   36,   55],
       [  30, 1815,   29,   24,   37,   18,   38,   62,   27,   53],
       [  69,   81, 1241,   17,   84,   20,   77,  163,   35,   78],
       [ 122,  126,   94, 1041,  101,   34,  156,  391,   81,  238],
       [  34,  100,   22,   18, 1317,    8,   74,   85,   28,  113],
       [ 102,  173,   78,   25,   87,  842,  287,  240,   55,  189],
       [  43,   46,   25,   12,   39,   10, 1513,   81,   35,   52],
       [  39,   79,   31,   21,   61,   19,   48, 2003,   32,   79],
       [  69,   85,   68,   24,   70,   18,   75,  179, 1105,  100],
       [  37,   52,   28,   12,   50,   17,   73,  101,   31, 1511]]))"
6,"(0.7109468042874156, array([[1460,   63,   44,   25,   41,   14,   57,  129,   40,   47],
       [  24, 1828,   30,   19,   36,   17,   37,   49,   30,   63],
       [  42,   85, 1348,   16,   77,   29,   63,   93,   44,   68],
       [ 134,  161,  135, 1119,  103,   38,  118,  272,  104,  200],
       [  33,   92,   30,   13, 1344,   10,   57,   84,   34,  102],
       [ 102,  144,   89,   22,   80,  991,  179,  169,   76,  226],
       [  45,   64,   28,   10,   48,   14, 1485,   66,   33,   63],
       [  37,   78,   52,   23,   66,   23,   39, 1978,   40,   76],
       [  47,   80,   78,   28,   60,   19,   56,  110, 1224,   91],
       [  32,   46,   39,   16,   38,   10,   52,   87,   42, 1550]]))"
7,"(0.6940750297737197, array([[1452,   53,   42,   18,   49,   11,   78,  133,   34,   50],
       [  30, 1812,   30,   24,   38,   13,   49,   60,   28,   49],
       [  43,   71, 1350,   14,   69,   19,   65,  138,   34,   62],
       [ 158,  176,  125, 1071,  129,   32,  125,  312,   88,  168],
       [  42,   66,   41,   12, 1339,    9,   70,  135,   25,   60],
       [ 142,  173,  109,   43,  114,  850,  221,  235,   79,  112],
       [  44,   43,   31,   11,   48,   10, 1526,   68,   30,   45],
       [  44,   85,   67,   23,   65,   18,   53, 1959,   41,   57],
       [  40,   88,   73,   23,   78,   19,   61,  103, 1251,   57],
       [  31,   63,   50,   12,   80,   13,   65,  147,   74, 1377]]))"
8,"(0.6840512107979357, array([[1464,   56,   24,   20,   50,    9,   63,  131,   45,   58],
       [  28, 1807,   26,   21,   40,   13,   38,   81,   33,   46],
       [  70,   87, 1268,   11,   53,   20,   65,  166,   51,   74],
       [ 154,  184,  119, 1099,   93,   36,   96,  352,  101,  150],
       [  43,   81,   38,   13, 1265,    8,   76,  181,   31,   63],
       [ 138,  137,   68,   41,  103,  834,  197,  340,   88,  132],
       [  39,   46,   22,   14,   41,   15, 1459,  135,   37,   48],
       [  44,   76,   57,   29,   53,   17,   45, 1987,   37,   67],
       [  53,   79,   52,   21,   56,   15,   46,  205, 1210,   56],
       [  34,   71,   33,   18,   66,   21,   71,  154,   52, 1392]]))"
9,"(0.6794859071059944, array([[1460,   33,   21,   23,   48,    9,   65,  157,   45,   59],
       [  37, 1744,   30,   18,   48,   12,   38,  115,   39,   52],
       [  93,   69, 1257,   10,   57,   20,   73,  151,   57,   78],
       [ 144,  184,  120, 1050,   99,   29,  119,  351,  105,  183],
       [  36,   58,   35,   20, 1313,   11,   77,  125,   44,   80],
       [ 138,  170,   62,   42,   76,  798,  208,  320,   79,  185],
       [  47,   37,   24,    7,   40,   13, 1396,  186,   50,   56],
       [  55,   70,   58,   23,   62,   14,   41, 1964,   42,   83],
       [  51,   66,   46,   16,   43,   12,   63,  185, 1243,   68],
       [  35,   57,   35,   16,   47,   13,   69,  108,   64, 1468]]))"
