round,accuracy
0,"(0.7735708614529575, array([[1598,   30,   18,   30,   38,    7,   36,   97,   39,   27],
       [  21, 1841,   33,   26,   35,   23,   26,   56,   31,   41],
       [  35,   40, 1390,   15,   41,   15,   41,  221,   32,   35],
       [  49,   88,   50, 1451,   52,   19,   57,  470,   59,   89],
       [  27,   42,   27,   18, 1475,   15,   42,   65,   26,   62],
       [  39,  109,   35,   24,   40, 1108,   88,  432,   76,  127],
       [  29,   31,   20,   12,   32,   16, 1582,   66,   31,   37],
       [  34,   45,   28,   33,   41,   18,   37, 2107,   28,   41],
       [  30,   50,   28,   15,   32,   12,   38,  116, 1428,   44],
       [  24,   35,   30,   18,   28,   10,   32,   97,   29, 1609]]))"
1,"(0.7338725684795554, array([[1472,   41,   30,   24,   61,    8,   82,  128,   37,   37],
       [  21, 1825,   27,   19,   47,   21,   30,   80,   25,   38],
       [  31,   41, 1323,   17,   94,   15,   52,  203,   48,   41],
       [  66,  118,   87, 1331,  167,   28,   64,  382,   53,   88],
       [  24,   46,   25,   11, 1416,   14,   40,  136,   24,   63],
       [  60,  149,   60,   25,   96, 1019,   56,  433,   64,  116],
       [  27,   40,   20,   10,   45,    9, 1542,   87,   34,   42],
       [  33,   53,   39,   32,   50,   20,   36, 2080,   26,   43],
       [  36,   64,   32,   16,   52,    9,   43,  192, 1304,   45],
       [  23,   50,   29,   17,   54,   13,   42,  174,   33, 1477]]))"
2,"(0.6977967447399762, array([[1440,   52,   46,   23,   51,    7,   80,  142,   28,   51],
       [  20, 1837,   22,   14,   44,   16,   30,   91,   18,   41],
       [  32,   72, 1257,   13,   80,   23,   49,  247,   24,   68],
       [  94,  152,   78, 1058,  203,   40,  117,  452,   47,  143],
       [  27,   63,   28,   12, 1361,   10,   43,  141,   20,   94],
       [  61,  196,   44,   15,   85, 1006,   71,  445,   52,  103],
       [  27,   50,   22,    5,   49,   11, 1520,  110,   21,   41],
       [  31,   63,   39,   27,   51,   17,   37, 2074,   19,   54],
       [  37,   99,   36,   14,   69,   12,   62,  342, 1047,   75],
       [  22,   56,   25,   10,   51,   13,   51,  194,   28, 1462]]))"
3,"(0.6952659785629218, array([[1334,   50,   46,   26,   66,   10,   91,  205,   47,   45],
       [  31, 1798,   28,   11,   50,   23,   30,   82,   41,   39],
       [  58,   59, 1247,   22,   70,   18,   60,  214,   35,   82],
       [ 125,  110,  105, 1123,  174,   45,   98,  393,   68,  143],
       [  31,   51,   28,   15, 1378,   15,   52,  112,   32,   85],
       [ 144,  144,   95,   20,   90,  980,  123,  254,   74,  154],
       [  36,   41,   29,   10,   44,   18, 1532,   87,   26,   33],
       [  33,   65,   47,   27,   56,   15,   39, 2051,   29,   50],
       [  56,   67,   50,   21,   58,   18,   58,  227, 1175,   63],
       [  43,   59,   36,   16,   50,   14,   80,  169,   52, 1393]]))"
4,"(0.690204446208813, array([[1459,   66,   33,   26,   70,   10,   53,  109,   48,   46],
       [  29, 1821,   22,   21,   37,   26,   25,   72,   27,   53],
       [  70,   96, 1207,   19,  108,   16,   56,  189,   31,   73],
       [ 101,  135,   85, 1056,  103,   37,   94,  469,   61,  243],
       [  38,   52,   24,   18, 1374,    9,   43,  112,   32,   97],
       [ 115,  178,   90,   23,   90,  913,  131,  318,   51,  169],
       [  49,   55,   28,   11,   55,   15, 1470,   91,   46,   36],
       [  36,   88,   41,   21,   61,   15,   35, 2026,   28,   61],
       [  42,   86,   47,   21,   72,   17,   57,  246, 1128,   77],
       [  30,   51,   30,   15,   63,   22,   73,  131,   42, 1455]]))"
5,"(0.6794362842397776, array([[1510,   54,   25,   23,   44,    7,   64,  116,   36,   41],
       [  41, 1811,   26,   18,   37,   18,   37,   66,   30,   49],
       [  82,   95, 1169,   18,  117,   16,   95,  162,   40,   71],
       [ 154,  129,   91,  945,  108,   33,  180,  407,  105,  232],
       [  35,   96,   21,   18, 1326,   11,   72,   90,   29,  101],
       [ 124,  168,   67,   21,   83,  820,  312,  218,   66,  199],
       [  42,   54,   20,   12,   41,    8, 1512,   76,   44,   47],
       [  47,   88,   29,   19,   59,   17,   54, 1989,   35,   75],
       [  71,   87,   64,   21,   67,   14,   75,  174, 1112,  108],
       [  38,   54,   29,   12,   55,   17,   85,   89,   35, 1498]]))"
6,"(0.7131302104009528, array([[1465,   76,   47,   22,   43,   17,   45,  122,   39,   44],
       [  23, 1837,   29,   22,   36,   19,   32,   44,   28,   63],
       [  42,   97, 1348,   15,   74,   23,   57,  103,   36,   70],
       [ 138,  175,  137, 1149,   95,   45,   98,  268,   72,  207],
       [  35,  101,   29,   13, 1364,   10,   51,   72,   29,   95],
       [ 103,  175,   98,   33,   64, 1035,  146,  173,   71,  180],
       [  54,   65,   31,   12,   52,   11, 1474,   55,   35,   67],
       [  36,   86,   57,   27,   66,   23,   41, 1964,   37,   75],
       [  48,   99,   86,   27,   58,   26,   58,  101, 1187,  103],
       [  32,   52,   37,   13,   36,   12,   48,   95,   39, 1548]]))"
7,"(0.6913953949980151, array([[1427,   55,   36,   15,   54,   12,   93,  131,   39,   58],
       [  27, 1815,   30,   24,   40,   14,   47,   62,   25,   49],
       [  55,   65, 1341,   15,   86,   19,   64,  128,   29,   63],
       [ 175,  181,  110, 1050,  157,   31,  123,  304,   78,  175],
       [  38,   72,   34,   12, 1349,    9,   69,  128,   26,   62],
       [ 141,  168,   92,   37,  129,  879,  197,  249,   75,  111],
       [  40,   42,   29,   12,   53,   14, 1519,   69,   30,   48],
       [  41,   84,   70,   27,   64,   20,   51, 1950,   42,   63],
       [  44,  118,   69,   18,   74,   19,   59,  112, 1217,   63],
       [  33,   65,   50,   13,   72,   17,   60,  152,   64, 1386]]))"
8,"(0.6715958713775307, array([[1446,   51,   18,   18,   48,   12,   53,  185,   39,   50],
       [  27, 1781,   27,   19,   42,   13,   41,  101,   36,   46],
       [  67,   88, 1238,   11,   55,   21,   71,  178,   52,   84],
       [ 146,  178,  104,  985,   85,   47,  109,  502,   98,  130],
       [  45,   70,   32,   18, 1270,   10,   75,  186,   26,   67],
       [ 149,  131,   70,   29,  101,  817,  192,  382,   86,  121],
       [  50,   43,   19,   15,   33,   16, 1452,  147,   35,   46],
       [  45,   67,   55,   21,   58,   18,   43, 2010,   32,   63],
       [  56,   77,   39,   19,   57,   18,   48,  220, 1206,   53],
       [  35,   63,   33,   17,   77,   30,   84,  190,   54, 1329]]))"
9,"(0.6727371973005161, array([[1388,   44,   20,   26,   51,    8,   66,  192,   53,   72],
       [  23, 1792,   26,   19,   45,   14,   35,   96,   35,   48],
       [  78,   86, 1235,    9,   53,   20,   73,  183,   58,   70],
       [ 101,  189,  123, 1050,   91,   39,  103,  392,  122,  174],
       [  26,   72,   30,   19, 1298,   13,   81,  141,   48,   71],
       [ 109,  205,   54,   39,   69,  822,  219,  301,  103,  157],
       [  39,   44,   16,    7,   38,   12, 1403,  198,   49,   50],
       [  45,   89,   53,   28,   65,   17,   36, 1967,   33,   79],
       [  46,   93,   32,   13,   43,   19,   61,  213, 1202,   71],
       [  37,   66,   29,   17,   64,   13,   77,  131,   78, 1400]]))"
